tile_id,label,confidence,notes,timestamp,datetime,date,broad_category,hour
tile_62_156,accurate,medium,,1761707883655,2025-10-29 03:18:03.655,2025-10-29,Accurate,3
tile_47_122,accurate,medium,,1761707887788,2025-10-29 03:18:07.788,2025-10-29,Accurate,3
tile_82_73,overmapping,medium,,1761707891572,2025-10-29 03:18:11.572,2025-10-29,Overmapping,3
tile_70_168,overmapping,medium,,1761707895055,2025-10-29 03:18:15.055,2025-10-29,Overmapping,3
tile_26_179,accurate,medium,,1761707901722,2025-10-29 03:18:21.722,2025-10-29,Accurate,3
tile_62_212,overmapping,medium,,1761707905222,2025-10-29 03:18:25.222,2025-10-29,Overmapping,3
tile_60_123,undermapping,medium,,1761707909672,2025-10-29 03:18:29.672,2025-10-29,Undermapping,3
tile_43_79,undermapping,medium,,1761707916539,2025-10-29 03:18:36.539,2025-10-29,Undermapping,3
tile_60_210,overmapping,medium,,1761707922339,2025-10-29 03:18:42.339,2025-10-29,Overmapping,3
tile_28_98,accurate,medium,,1761707929256,2025-10-29 03:18:49.256,2025-10-29,Accurate,3
tile_57_109,accurate,medium,,1761707932189,2025-10-29 03:18:52.189,2025-10-29,Accurate,3
tile_30_192,large-overmapping,medium,,1761707941806,2025-10-29 03:19:01.806,2025-10-29,Overmapping,3
tile_37_149,accurate,medium,,1761707947538,2025-10-29 03:19:07.538,2025-10-29,Accurate,3
tile_50_80,accurate,medium,,1761707951273,2025-10-29 03:19:11.273,2025-10-29,Accurate,3
tile_99_96,overmapping,medium,,1761707956040,2025-10-29 03:19:16.040,2025-10-29,Overmapping,3
tile_55_96,accurate,medium,,1761707961989,2025-10-29 03:19:21.989,2025-10-29,Accurate,3
tile_32_197,accurate,medium,,1761707967789,2025-10-29 03:19:27.789,2025-10-29,Accurate,3
tile_47_79,accurate,medium,,1761707970955,2025-10-29 03:19:30.955,2025-10-29,Accurate,3
tile_59_83,accurate,medium,,1761707982057,2025-10-29 03:19:42.057,2025-10-29,Accurate,3
tile_40_127,accurate,medium,,1761708004907,2025-10-29 03:20:04.907,2025-10-29,Accurate,3
tile_60_106,overmapping,medium,,1761708008156,2025-10-29 03:20:08.156,2025-10-29,Overmapping,3
tile_39_92,accurate,medium,,1761708016440,2025-10-29 03:20:16.440,2025-10-29,Accurate,3
tile_13_151,large-undermapping,medium,,1761708030756,2025-10-29 03:20:30.756,2025-10-29,Undermapping,3
tile_70_151,accurate,medium,,1761708038340,2025-10-29 03:20:38.340,2025-10-29,Accurate,3
tile_51_203,large-undermapping,medium,,1761708043757,2025-10-29 03:20:43.757,2025-10-29,Undermapping,3
tile_42_125,large-undermapping,medium,,1761708049391,2025-10-29 03:20:49.391,2025-10-29,Undermapping,3
tile_74_169,large-overmapping,medium,,1761708058424,2025-10-29 03:20:58.424,2025-10-29,Overmapping,3
tile_18_187,undermapping,medium,,1761708066657,2025-10-29 03:21:06.657,2025-10-29,Undermapping,3
tile_56_175,undermapping,medium,,1761708072590,2025-10-29 03:21:12.590,2025-10-29,Undermapping,3
tile_73_70,overmapping,medium,,1761708076807,2025-10-29 03:21:16.807,2025-10-29,Overmapping,3
tile_33_98,undermapping,medium,,1761708081424,2025-10-29 03:21:21.424,2025-10-29,Undermapping,3
tile_47_71,overmapping,medium,,1761708089557,2025-10-29 03:21:29.557,2025-10-29,Overmapping,3
tile_45_75,undermapping,medium,,1761708104057,2025-10-29 03:21:44.057,2025-10-29,Undermapping,3
tile_50_93,overmapping,medium,,1761708109524,2025-10-29 03:21:49.524,2025-10-29,Overmapping,3
tile_30_120,accurate,medium,,1761708114591,2025-10-29 03:21:54.591,2025-10-29,Accurate,3
tile_61_209,undermapping,medium,,1761708126774,2025-10-29 03:22:06.774,2025-10-29,Undermapping,3
tile_4_142,large-undermapping,medium,,1761708131074,2025-10-29 03:22:11.074,2025-10-29,Undermapping,3
tile_87_41,overmapping,medium,,1761708134859,2025-10-29 03:22:14.859,2025-10-29,Overmapping,3
tile_66_57,undermapping,medium,,1761708143925,2025-10-29 03:22:23.925,2025-10-29,Undermapping,3
tile_35_142,overmapping,medium,,1761708146942,2025-10-29 03:22:26.942,2025-10-29,Overmapping,3
tile_45_189,large-undermapping,medium,,1761708151842,2025-10-29 03:22:31.842,2025-10-29,Undermapping,3
